puzzleId,type,puzzleMoveCount,woodpeckerMoveCount,puzzleMoves,woodpeckerMoves
advanced-0985,match,2,2,e6 dxe6,e6 dxe6
advanced-0986,mismatch,4,6,Bxf2+ Kh1 Kxf2 fxe5+,Bxf2+ Kh1 Kxf2 fxe5+ Kg1 Qxg5
advanced-0987,mismatch,1,6,Qg4,Qg4 g6 Ng5+ Ke8 fxg5 Qxd7+
advanced-0988,match,1,1,Rg8,Rg8
advanced-0989,match,4,4,Nxc7 Rxc7 Qxc7 Bxd6+,Nxc7 Rxc7 Qxc7 Bxd6+
advanced-0990,mismatch,5,15,Bxh7+ Kxh7 Qxh5+ Kg8 Bxg7,Bxh7+ Kxh7 Qxh5+ Kg8 Bxg7 Kxg7 f6 Bh6 Rf3 f5 Bh6 Qe8 Be5 Rf6 Rf3
advanced-0991,match,4,4,Re7 Ne6 Qxe7 Qxd5+,Re7 Ne6 Qxe7 Qxd5+
advanced-0992,mismatch,1,23,Bxh7+,Bxh7+ Kxh7 h6+ Kf8 Qh4 Ne1 Rb5 Ke8 Bg6 Bc1 Bxf7+ Kd7 Bxe6+ Ke8 Kc7 Rxg7+ Kb6 Qd8+ Bf7+ Bg6 Re7 hxg6 hxg6
advanced-0993,mismatch,4,35,Qxf7+ Bxf7+ Kh8 Qxf7,Qxf7+ Bxf7+ Kh8 Qxf7 Rxf7 b8=Q+ Kh7 Bxf7 Qxf7 Rd1 Qa2+ Ke3 Ke1 Qc2 Rd2 Qc1 Qxe5 Qe1+ Re2 Kf3 Qxd2 Qxc5 Qc1+ Kd4 Nb3+ Kc4 Qa3 Bxf7+ Kh8 Kxf7 Rf1+ Ke7 Rxf8 Kxf8 b8=Q+
advanced-0994,match,4,4,Rxe4 Qc3 fxe4 Bxe4+,Rxe4 Qc3 fxe4 Bxe4+
advanced-0995,mismatch,4,11,Bxg3 Re2 hxg3 Qxg3+,Bxg3 Re2 hxg3 Qxg3+ Kh1 Ng2 Bxg2 Rxg2 Re1+ Qxe1 Qxe1+
advanced-0996,mismatch,3,8,Bxc3 Bxc3 Nb4+,Bxc3 Bxc3 Nb4+ Nxc3 Qxc3 Kb1 Bxb4+ Kxb4
advanced-0997,mismatch,4,11,Bh3 Nxg2 Kxg2 Bh3+,Bh3 Nxg2 Kxg2 Bh3+ Kg3 Ne3 g3 gxh3 Qg5+ Kh1 Qg2#
advanced-0998,mismatch,2,13,Ngf4 gxf4,Ngf4 gxf4 Kg1 Nxd3 Nxd3 f5 exf5 Qxf5 Bc2 Rg1 Nxg3+ Qxg3 Qxf1+
advanced-0999,match,8,8,Bh6 Nxg7 Kxg7 Bh6+ Kh8 Ne8 gxh6 Qxh6,Bh6 Nxg7 Kxg7 Bh6+ Kh8 Ne8 gxh6 Qxh6
advanced-1000,mismatch,3,14,Nf6+ gxf6 exf6,Nf6+ gxf6 exf6 Bxf4+ Qxf4 Qxe1 Nxf4+ Nxg6 Qh6 Qe5+ Kh1 Qxf6 Qe4 Ne7+
advanced-1001,match,4,4,Nh3+ Kf1 gxh3 Bxf3,Nh3+ Kf1 gxh3 Bxf3
advanced-1002,mismatch,3,8,Nf4 exf4 Qc4,Nf4 exf4 Qc4 Qxc4 Rxd1+ Qf1 Kf2 bxc4
advanced-1003,mismatch,1,4,f4+,f4+ Kf2 Kd4 Rxa4
advanced-1004,match,4,4,Ndxf7+ Kg8 Rxf7 Ng6+,Ndxf7+ Kg8 Rxf7 Ng6+
advanced-1005,mismatch,1,14,e5,e5 e4 dxe5 Ne4 Bf5 Nxf6 Qxf6 Kg7 g4 Qxf6 Bxg4 g4 Kg7 Qxb7+
advanced-1006,mismatch,6,8,g5 Nxe6 Rxd8 Rxd8 Nxe6 Rd2,g5 Nxe6 Rxd8 Rxd8 Nxe6 Rd2 Qxd2 Qxe4#
advanced-1007,mismatch,4,19,Nxf7 Rxf7 Kxf7 Bxe6+,Nxf7 Rxf7 Kxf7 Bxe6+ Qxe6+ Kg6 Ke8 d5 Rxc3 Qb5+ Nd7 Rxc3+ Qxe6 Qf8 Ned5 Nxd5 Nxd5 Rxc1 Nxf6+
advanced-1008,mismatch,6,8,Nxb5 cxb5 Bc7 Qd7 Bf5 Nf6,Nxb5 cxb5 Bc7 Qd7 Bf5 Nf6 Ne6 Bxh7+
advanced-1009,match,9,9,b4 cxb4 axb4 Bxb4 Ncd5+ Nxd5 Nxd5+ exd5 Bxb4+,b4 cxb4 axb4 Bxb4 Ncd5+ Nxd5 Nxd5+ exd5 Bxb4+
advanced-1010,mismatch,2,11,Bxf7+ Kxf7,Bxf7+ Kxf7 Kh8+ Qf3+ Bf5 Nxf5 gxf5 Qxf5+ Kg8 Qxe4 Qxd2
advanced-1011,mismatch,2,13,Rf7 b6,Rf7 b6 Rxe5 Nxb6 Rc7+ b7 Rae8 Rc8+ Qxe5 Rf8+ Kg7 Rxf8 Qxe5+
advanced-1012,mismatch,1,4,Qf7,Qf7 Rxf3+ Qh5+ Qf1+
advanced-1013,match,6,6,Nxe6 Qxd1 fxe6 Qxd7 Nxd7 Bxe6+,Nxe6 Qxd1 fxe6 Qxd7 Nxd7 Bxe6+
advanced-1014,mismatch,3,9,Ng4+ fxg4 Bxd4,Ng4+ fxg4 Bxd4 Qd5 Rxd4 Qxd4 Qd5 Re2+ Qf6+
advanced-1015,mismatch,1,9,R1h6,R1h6 Rf6+ gxf6 Bh6+ d3 gxh6 Bxh6+ Ke8 Qxg8#
advanced-1016,match,6,6,Rxe7+ Kxe7 Re1+ Kd8 Be6 Nxe6,Rxe7+ Kxe7 Re1+ Kd8 Be6 Nxe6
advanced-1017,mismatch,2,34,Qxe7+ Be5,Qxe7+ Be5 Kxe7 Nf5+ Ke8 Ke6 Nxg7+ Ke7 Bd6+ Nxg7+ Kf8 Bd6+ Kxg7 Kg8 Rg1 Qc3+ Rd2 Qa1+ Rd1 Rg1+ Ng4 Kh6 Bf4+ Kh5 Be2+ Ng4 Rxg4 Kh4 Bg5+ Kxh3 Kf1 Rxg4+ Kf6 Rf4+
advanced-1018,mismatch,2,15,Be5 Qxe6,Be5 Qxe6 fxe6 Kxg6 Rf1 Nh7 Rhe8 Rxf6+ Bxh8 Rxh8 Rf8 Be5 Rxf8 Nxf8 e8=Q+
advanced-1019,mismatch,3,4,f3 Bxf3 Qxg4,f3 Bxf3 Qxg4 Nf6+
advanced-1020,mismatch,8,56,f5+ h5+ gxh6 f5+ Kxf5 Qf3+ Kg5 Qf6+,f5+ h5+ gxh6 f5+ Kxf5 Qf3+ Kg5 Qf6+ Qxf6 gxf6+ Kxf6 Rxb8 h7+ Kxh7 d6 Rf8+ Ke7 Rf1 d7 Re1+ gxf6 h5+ Kxh5 Qf3+ Kg5 Qxf6+ Qg2+ Kf5 Kh5 Kh7 Rxb8 fxg7 Re5+ Qxe5 Qg6# g6+ Kf4 Qh2+ Qxf6 gxf6+ Kxf6 Rxb8 Ke7 Rb7+ Ke8 Rh7 d6 Rxh4 d7 Re4+ Kd8 Kf7 Kc7 Rc4+ Kb6 Ke7
advanced-1021,mismatch,2,7,Ra8 Bxa2,Ra8 Bxa2 Rxa8 Bxd5+ Qxd5+ Kf8 Bxa8
advanced-1022,mismatch,2,16,Rxh7 Qxe5,Rxh7 Qxe5 Bg7 Bf6 Bxf6 Nxf6 exf6 Kxh7 Rh1+ Kg8 Qh4 exf6 Nxf6 Qxg6+ fxg6 Rxc7
advanced-1023,mismatch,1,20,Qf4,Qf4 h4 Qd3 Qf5 Qxf5 gxf5 Rxe8 Rxe8 Bxf7+ Kf8 Bxe8 Kxe8 Ne6 Be5 Re1 Nd7 Rxd7 Bxd7 Qxd7 Qh4
advanced-1024,mismatch,3,12,d5 Ke6 b5,d5 Ke6 b5+ cxd5 b5 dxc4 bxa6 c3 a7 c2 a8=Q c1=Q
advanced-1025,mismatch,1,32,Bxe7,Bxe7 Bxh7+ Bf4 Ncxd3 cxd3 f6 Nxe5 fxe5 Bxe5 Nxf3 Rxf3 Qxe7 Bxh7+ Kxh7 Rh3+ Nf5 Qg5 Rh3+ Kg6 Rg3+ Kg8 Kg6 Qh5+ Kf6 Rf1# Nf5 Qg5 Qh5 Qxh5 Ne7+ Kh7 Rxh5#
advanced-1026,mismatch,3,57,Rd5 Rc2 g6,Rd5 Rc2 g6 hxg7 Rxd2 Rh8+ Kxg7 Rh7+ Kxh7 Qh5+ Kg8 Qxg5+ Ng6 Qxa5 Rxf2 Rxd5 cxd5 Qxe5 gxh6 f6 Qxe6+ Rf7 h7+ Kh8 Qxf7+ Rxh6 Nh5 f6 Qxe6+ Rf7 Nh5 f6 cxd5 Qxd5 Ng6 hxg7 Kxg7 Nh5+ Kg8 Qf3 f5 Qe3+ hxg7 Kxg7 Nh5+ Kg6 Nf4+ gxf4 Qh5+ Kf6 Qh4+ Kf5 Qh5+ Ke4 Kf6 Qh4+ Qe2+
advanced-1027,mismatch,4,17,Nxf7 Bxg6 fxg6 Nfxe6+,Nxf7 Bxg6 fxg6 Nfxe6+ Kg8 Rxf8+ Qxf8 Nh7 Rxh7 Qxg6+ Rg7 Nxf8 Rxg6 Nxg6 Rxf7 Qxf7 Nh5+
advanced-1028,mismatch,1,21,Nxg7,Nxg7 Qg3 Qg5 Rg4 Qe3+ Rg4 g5 fxg6 Bxg4 gxf7+ Nxf7 Nf6+ Kg7 Nxg4 f6 g6 Ne4 Kxg7 f6+ Kh8 Qh4
advanced-1029,mismatch,1,10,Rd7+,Rd7+ Qxh7 Nxh7 Rd7+ Qxd7 cxd7 Bg7 Qxd7 Nxd7 Qxh7+
advanced-1030,mismatch,9,15,Nxf7 g4 Bg6 h4 Bxe5 dxe5 a4 Bc4 Nb6,Nxf7 g4 Bg6 h4 Bxe5 dxe5 a4 Bc4 Nb6 c2 Kxf7 g4 Qf6 Bg6 Qxe6+
advanced-1031,mismatch,5,4,g5 Nf5 a fxe5 Qf6+,g5 Nf5 fxe5 Qf6+
advanced-1032,mismatch,2,24,Qh6+ a,Qh6+ d8=Q Rxd8 Qxd8 Ne2+ Rxe2 Qd1+ Kh2 Bxg2 Kxg2 Qxe2 Qe7 Raa8 gxf3 Rxd7 Rxc3 Qxd4 h8 Kg8 Qxf8+ Bg5 Qxd4 Kxf8 d8=Q+
advanced-1033,mismatch,1,23,Nxe4,Nxe4 Nxe4 Bf5 Rf1+ Kc2 Bf5 Qg2 Rxc4 Rc8 Qd3 Ra1 Qh4 Qa5 Rxc4 Qe1 Qc2 Qh4 Rxc4 Rac8 Nf3 Rxc4 Nxh4 Bxe4
advanced-1034,mismatch,7,17,Rxd8+ Kxd8 Qb8+ Bxe6 Qc2+ Kf3 Qc6+,Rxd8+ Kxd8 Qb8+ Bxe6 Qc2+ Kf3 Qc6+ Qe4 Qxe4+ Kxe4 Nxf6+ Ke5 Ke7 Bh3 Qc8 Kd7 Qxg8+
advanced-1035,mismatch,3,14,e7 Qf4+ Kc8,e7 Qf4+ Kc8 Kb6 Rg8+ Rd8 Re5 Ra5 Qf4+ Kd7 Kb6 Qb4+ Ka6 Qxa5+
advanced-1036,mismatch,1,8,Nf3,Nf3 Bxe4 fxe3 Nf3 Rxf3 exd3 exf3 Bd2
advanced-1037,mismatch,1,16,Qh6,Qh6 Bxe6 Rh3 Rxf6 exf6 Bg7 Qxg6 Qh4 f5 Nf4 Nc7 Qxg7+ Kxg7 Rg5+ Kh6 Rh3#
advanced-1038,mismatch,7,21,f5 hxg5 a Bxf5 Bxf6 Rxe2 Qd8+,f5 hxg5 Bxf5 Bxf6 Rxe2 Qd8+ Bxe2+ Qf8 Qxf8+ Kxf8 Bxg7+ Bxe2 Rd8+ Re8 Bxg7+ Kxg7 Rxe8+ Kxg7 Bxe2+ gxf5 Bxh6+
advanced-1039,mismatch,2,36,Nc6 Qe5,Nc6 Qe5 Qd6 Qxd6 Nxd6 Rc7 Re8 Qxd4 Nd6 Nxd8 Ne7+ Kh8 Ng6+ Kg8 fxg6 Qxf8+ Rxf8 Rxf8+ Kh7 d8=Q+ Nxf8 Nxf5 Rxd8 Qxd8 Re8+ Rxd8 Rxd8 Nxd8 Nxf5 Nb7 Kh7 d8=Q Qxb7 g4 Nxf5 Nc6
advanced-1040,mismatch,1,19,Rxd3,Rxd3 a3 R3c4 Rxd3 Qxf2+ Kh2 Kh1 Ng3+ Kh2 Nf1+ Kh1 Nxe3 Qg3+ Kg1 Qf2+ Kh2 Qg3+ Kg1 Nf2
advanced-1041,mismatch,3,20,Nxe4 Bf3 Be5+,Nxe4 Bf3 Be5+ exf3 Nxf3 Kh1 Qh6 fxe4 Bxe4 Qe6 Be5+ Kh1 Qe6 Re3 Rg6 Rg4+ Qh6 Bg5 Qe6 Qh4
advanced-1042,mismatch,1,10,Qe4,Qe4 Bxf7+ Kxf7 Qc4+ Kg7 Kg7 Bxg5 Qxg6+ Kf8 Qxg5+
advanced-1043,mismatch,1,24,Nf6+,Nf6+ Bxd5 Rxd5 Rxd5 Nb4 Rc5 Rxd5 Rxd5 Bxd5 Nb4 Bc4 Nd3 Kh8 Bxf6 exf6 Qxf6 Qf8 Rxd5 Rxd5 Bxd5 Nb4 Bxb7 Rxc1 Rxc1+
advanced-1044,mismatch,1,16,Rxf7,Rxf7 Qxg6 Nxc3 Nxd6+ Bxd6 Rxd6 Ne2+ Kd1 Ra6 Rxf7 Qg8+ Rf8 Bf8 Nxe4 Bxe4 Nxd6+
advanced-1045,mismatch,1,36,Ne4,Ne4 Nxe6 Qxe6 Bc4 Qxc4 Rxc4 Re1# Nd7 Rf7 Bc4 Nxf6+ Nxf6 Bc4 Ng4 Qb2 Nxf6+ Bxe6 Ra1 Nxf6+ Kh8 Rf1 Nxf6 Bxe6 Ra1 Bxf7+ Kxf7 Qxh7+ Ke8 Ke6 Re3+ Kd5 Qf7+ Kd6 Qe7+ Kd5 Qe5#
advanced-1046,mismatch,1,29,Nxe4,Nxe4 Qxe3 Qxh4+ Kg2 Bxf4 Rxg7 Rxf4 Rg6 Rxe4 Rxg7 Qxg7 Rxg7 Kxg7 Qg1+ Qg3+ Kf7 Bxf6 Nf5 Kf7 Bxf6 Bh5+ Kxf6 Qg5+ Kf7 Bh5+ Kf8 Qf6+ Kg8 Bf7+
advanced-1047,mismatch,2,24,Nxe6 fxe6,Nxe6 fxe6 Qg4 Qc4 Qb6 Qxa4+ Qxa4+ Qxa4+ Qb5 Qg4 Qg4 Ke7 Qh4+ Ke8 Qg4+ Qg4 Qc6 Qe7 Qxa4+ Rf8 Qxe6+ Be7 Rxf8+ Kxf8
advanced-1048,match,3,3,Nxf7 Kxf7 Nxd6,Nxf7 Kxf7 Nxd6
advanced-1049,mismatch,1,6,a5,a5 dxe4 bxa5 Bb2 Qa4 Be2
advanced-1050,mismatch,1,12,d6,d6 Rxb8 Rxb8 Ba5 Rd8 Bxc7 Rxd5 Ra8 Rxb5 dxe7 Rxc5 exd8=Q+
advanced-1051,mismatch,1,4,Nxd6,Nxd6 e4 Qxd6 Qxf5+
advanced-1052,mismatch,1,6,Nxf5,Nxf5 Bxg4 fxg4 Nxh3 Kxf5 Rf2+
advanced-1053,mismatch,1,12,h4,h4 Qxh4 Rh1 Qg5 Rxh7+ Nxf6 Rd2+ Kf8 Kxh7 Nxf6+ Kg7 Ne4+
advanced-1054,match,6,6,Qf4 Rxc4 Qxf4 Ne2+ Kh1 Nxf4,Qf4 Rxc4 Qxf4 Ne2+ Kh1 Nxf4
advanced-1055,mismatch,3,12,Rxd8+ Bxc4 bxc4,Rxd8+ Bxc4 bxc4 Rxd1 Bxe6+ Bxd8 Qxd8 e5 Bxc4 Bxc4 bxc4 Qe5+
advanced-1056,mismatch,1,4,Nf5+,Nf5+ gxf5 Ke8 Ng7+
advanced-1057,mismatch,4,41,Rc8+ Rc1 Nc2 Rxc2,Rc8+ Rc1 Nc2 Rxc2 a1=Q Rc8+ Kd7 Rxh8 Qd4+ Kg3 Kg2 Qd2+ Kh3 Kg3 Qe1+ Qe3+ Qg1+ Kd7 Ke7 Rxh8 Rc7+ Ke8 Ra7+ Rxh8 a1=Q Rd8+ Kxd8 h8=Q+ Kd7 Kc7 Nxf7 Ne4 Qb2+ Kg3 Qb3+ Kh4 Nf3+ Kh5 Qc2 Qb2+ Kg3
advanced-1058,mismatch,5,4,Rxe7 Qg3 a Rxe7 Bxf6+,Rxe7 Qg3 Rxe7 Bxf6+
advanced-1059,mismatch,1,21,Be8,Be8 Kd8 Bxg6 Kxb6 Kxe8 Kxc5 Kd7 b4 axb4 cxb4 Nc6 a5 Kc7 a6 Na7 b5 Nc8 Nxg6 Kxb6 Kd7 Kxc5
advanced-1060,match,2,2,Nxh2 c5,Nxh2 c5
advanced-1061,mismatch,3,12,Re7 Qa8+ Qb8,Re7 Qa8+ Qb8 Re4 Rd1+ Qxe7 Qa8+ Kc7 Qa7+ Kd8 Kc8 Qxe7+
advanced-1062,mismatch,1,39,Nc4,Nc4 c1 h6 Rxg7 Kxg7 Nde4 c1 h6 Nde4 Nc4 Rxg7 Ba3 Qxa3 Nxd7 Nb5 Nf6 Qa1+ Nh5 Nxf6 dxc4 Rxg7 Kxg7 Bc1 Nxf6 Rh8 Qg3+ Kf8 Bxh6+ Rxh6 Qg8# Qxh6+ Kg8 exf6 Qf8 Qg5+ Kh8 Qh5+ Kg8 Bh6
advanced-1063,mismatch,3,9,Ne4 Ng4 Rg2,Ne4 Ng4 Rg2 fxe4 Rg2 f3 Rxf2 Kxf2 Qxh2+
advanced-1064,mismatch,2,4,Be7 Qc7,Be7 Qc7 Rxe7 Rd8+
advanced-1065,mismatch,4,40,Qh4 Nxc6 h6 Nf6,Qh4 Nxc6 h6 Nf6 Rg6 Nxc6 Rxh6+ Kg8 Be7 Rxg7 Kxg7 Nxe7 Rxe7 Nh5+ Kf7 Qf6+ Ke8 Qh8+ Kd7 Nf6+ Kd6 Qxc8+ Nxe7 Rxe7 Rxg7 Rxg7 Ng8 Qxg8 Qxe7+ Ne5 Bxf6 Nf7+ Kh7 Qh5 Nf6 h6 gxf6 Qxf6+ Bg7 Qxg7#
advanced-1066,mismatch,4,4,Re1 Bd6 Bf6 Re4,Re1 Bd6 Bf6 Re4+
advanced-1067,match,9,9,Rxd4 cxd4 Nxa4 Rxa4 Bxa4 b5 Rxb5 Ra7+ Kd6,Rxd4 cxd4 Nxa4 Rxa4 Bxa4 b5 Rxb5 Ra7+ Kd6
advanced-1068,mismatch,1,25,Nb7,Nb7 Nb3 Nxb3 Re4 Nc1+ Ke3 Nc2+ Kf2 Nd3+ Kg3 Bh7 f4 Kxf4 Rf3+ Ke4 Re5+ Kf4 Rxc5 Nd3 Rhe8+ Kd2 Nf2+ Rd4 Nxb7 Re4
advanced-1069,mismatch,3,7,Bxa4 Qxa4 Nc3,Bxa4 Qxa4 Nc3 bxc3 Qxc3+ Ke2 Qxa1
advanced-1070,mismatch,3,13,Bh6+ Qc8 Rdd7,Bh6+ Qc8 Rdd7+ g5 Qxg5 Nxg5 Qg6 Qg6 Qxg6 hxg6 Kb1 Qxh6 Qxe7
advanced-1071,match,12,12,Rxh6 Rg6 Qc5+ Kh2 Rc2+ Bg2 Rf2 Bxh6 Qc5+ Kh1 Rc1 Be6#,Rxh6 Rg6 Qc5+ Kh2 Rc2+ Bg2 Rf2 Bxh6 Qc5+ Kh1 Rc1 Be6#
advanced-1072,mismatch,4,27,c6 Qf6 Rf8 Qg7,c6 Qf6 Rf8 Qg7 dxc5 Re3 Rd3 Rxd3 Qxb6 Re1 Qf6 Rxe7+ Qxe7 Re3 Be4 Qxe7+ Kxe7 Rxe4+ Bxc6 Bc8 Qf6+ Nd5 Bxe6 Nxc7+ Kf7 Nxe6+ Rac1
advanced-1073,mismatch,2,8,f4 Ke7,f4 Ke7 Be2 Ke7 Rd7 g5 Kg7 Bxe6
advanced-1074,mismatch,3,10,e5 Bxf4 Qxf4,e5 Bxf4 Qxf4 Qf5 Qxe5 Bxf7+ Rxf7 Rd8+ Kh7 Qxf7+
advanced-1075,mismatch,7,20,Ng4 f6 Nxf6 Bc2+ Kg8 Qxh6 Re8,Ng4 f6 Nxf6 Bc2+ Kg8 Qxh6 Re8 f6 Bc2+ Bxf6 Qxh6+ Nxh6 Nxf6+ Kg7 Nxd7 Rd8 Re7 Kg7 Qd8 f6
advanced-1076,mismatch,5,51,Rg6+ fxg6 Qxg6+ Kf8 Qxh6+,Rg6+ fxg6 Qxg6+ Kf8 Qxh6+ Kf7 Qg6+ Kf8 Bxg5 Nxc5 Rxh6 Kxh6 Bxg5+ Kg7 h6+ Kf8 Kg8 Bxd8 Qxd8 Qg4+ Qh7 Ke8 Qg8+ Nf8 h7 Rd1+ Kh2 e4+ g3 Qxc5 Bh4 g3 bxc5 Rxh6 Kxh6 Bxg5+ Kg7 h6+ Kf8 Qh7 Ke8 Qg8+ Nf8 h7 Rd1+ Kh2+ Bxg5 hxg5 Qxg5+ Kf8 h6
advanced-1077,mismatch,6,6,Ng4 Qe6 fxg4 Qxe5+ Rxe5 Rxe5,Ng4 Qe6 fxg4 Qxe5+ Rxe5 Rxe5+
advanced-1078,mismatch,7,25,e3 Bg5 Bxg5 Rxg5 Rf4 Qxg3 Rf8+,e3 Bg5 Bxg5 Rxg5 Rf4 Qxg3 Rf8+ Re6 Rxh6 e2 Rxd6 e2 Bg5 Bxg5 Qf3+ Kh2 Qf2+ Qxf2 exf2 Rf6 Rf7 Rd8+ Kf7 Qc7+ Kg6
advanced-1079,mismatch,1,10,Qg4+,Qg4+ Kf1 Qh3+ Ke2 Rc2+ Bg5 Nd3 Qxd3 a7 Rc5
advanced-1080,mismatch,1,22,Nh7,Nh7 Nxf7 Bxd5 Ne6+ fxe6 Qh6+ Kf7 Qh7+ Ke8 Qxg6+ Kd8 Bxe6 Qe8 Bxd5 Kxh7 Qh6+ Kg8 Qxg6+ Kh8 Qxh5+ Kg8 Re3+
advanced-1081,mismatch,1,14,Bxf2+,Bxf2+ Qxf2 Rxf2 Qxa5 Qxa5 Nxe6 Bxg2 Bd3 Nxf8 Bxf1 Qxf1 Kxg2 Nxf8 Bxf1
advanced-1082,mismatch,4,7,Nc2 Qc2 Qxc2 Nxc2,Nc2 Qc2 Qxc2 Nxc2 Kb1 Nxc5 Rxb2#
advanced-1083,mismatch,6,11,Bxf7+ Kh7 Rxf7 Nxe5 Qf6 Qxf7+,Bxf7+ Kh7 Rxf7 Nxe5 Qf6 Qxf7+ Nxf7+ Qxf7 Nxf7 Kxf7 Rc7+
advanced-1084,mismatch,1,7,b5,b5 b4+ Ka4 Rxa2# Ra1 b4 R8c3#
advanced-1085,mismatch,3,20,Rxh6+ gxh6 Kg8,Rxh6+ gxh6 Kg8 Rh7 Rf7 Bxf6 Qc7 Qh5 Qxh6+ Kg8 Qg6+ Kh8 Bxf6+ Rxf6 Qxf6+ Kg8 Qg6+ Kf8 Kh8 f6+
advanced-1086,mismatch,1,17,Qf4,Qf4 e5 Qxe5 Qxe5+ dxe5 d6+ Ke6 Nc7+ Kxd6 Nxa8 Nd5 Ra1 Qe5 Rad8 Nxd6 Rxd6 e5+
advanced-1087,mismatch,7,13,Rh3 fxe6 fxe5 fxe5 Rxh6 Rf6 exd4,Rh3 fxe6 fxe5 fxe5 Rxh6 Rf6 exd4 Qh7+ Rd3 Qa5 a3+ Kf7 f6
advanced-1088,mismatch,2,8,Rh7 Qxb2+,Rh7 Qxb2+ Kxh7 Nxe7+ Kh6 Rh1+ Bh5 g4
advanced-1089,match,3,3,Rh8 f6 Re3+,Rh8 f6 Re3+
advanced-1090,match,6,6,Rh5 Qc2 Kf1 R7d6 Qg4 Rg5,Rh5 Qc2 Kf1 R7d6 Qg4 Rg5
advanced-1091,mismatch,1,30,Qxe4,Qxe4 Nxb8 Bxf2+ Rxf2 Qxc1+ Rxc5 Nxc5 Nxb8 Rxb8 Rxb5 Qc4 h4 Qd2 Qc4 a4 Bxf2+ Kxf2 Rb2+ Kg1 f5 Bxa3 Qxb5 Bxc1 Qc5 Bb2 Ne7+ Kh8 Ng6+ hxg6 Qxf8+
advanced-1092,mismatch,4,8,Bxf3 Nxf3 Ne4+ Ng4+,Bxf3 Nxf3 Ne4+ Ng4+ Ke1 Nxc3 bxc3 Qxc3+
advanced-1093,mismatch,8,17,e5 Rb2 Qa3 e5 Bh6 Nd5 Nh5 g4,e5 Rb2 Qa3 e5 Bh6 Nd5 Nh5 g4+ Rb2 Qa4 Qa3 Rb8 e8 Qxc1 Rxe8+ Bf8 Rxc1+
advanced-1094,mismatch,8,12,Rxd7 Rb4 Qxb4 Bxb4 Nxc7 Nd2 Kxd7 Rb4,Rxd7 Rb4 Qxb4 Bxb4 Nxc7 Nd2 Kxd7 Rb4 Qxb4 Qf5 g4+ Bxb4+
advanced-1095,mismatch,6,8,Rxc3 Bd3 a bxc3 Nd5 Rxd5,Rxc3 Bd3 bxc3 Nd5 Rxd5 Qh3 Nxc3+ exd5
