exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
1,easy-0001,easy,"Carl Hamppe - Wilhelm Steinitz, Vienna 1860","[""Rxh2+"", ""Kxh2"", ""Rh8#""]",3,medium,224
2,easy-0002,easy,"Wilhelm Steinitz - J. Wilson, London 1862","[""Rf8+"", ""Bxf8"", ""d6+"", ""Be6"", ""Bxe6#""]",5,medium,224
3,easy-0003,easy,"Wilhelm Steinitz - Serafino Dubois, London (6) 1862","[""Bxf4"", ""exf4"", ""e5""]",3,medium,224
4,easy-0004,easy,"Valentine Green - Wilhelm Steinitz, London 1864","[""Rd2+""]",1,medium,224
5,easy-0005,easy,"Wilhelm Steinitz - George Barry, Dublin (simul) 1865","[""Bxf7+"", ""Kxf7"", ""Nxe5+""]",3,medium,224
6,easy-0006,easy,"George Fraser - Wilhelm Steinitz, Dundee 1867","[""Rxc6"", ""bxc6"", ""Ba5+""]",3,medium,224
7,easy-0007,easy,"Wilhelm Steinitz - Jonathan Baker, London (simul) 1868","[""f3"", ""Qxf3"", ""Rxc4""]",3,medium,224
8,easy-0008,easy,"Wilhelm Steinitz - Johannes Minckwitz, Baden-Baden 1870","[""Qxc4"", ""Qxc4"", ""Ne3+"", ""Ke2"", ""Nxc4""]",5,medium,224
9,easy-0009,easy,"Wilhelm Steinitz - Maximilian Fleissig, Vienna 1873","[""Rxd7"", ""Kxd7"", ""Rxb4+"", ""Bxb4"", ""Kxd7"", ""Kb5+""]",6,medium,224
10,easy-0010,easy,"Wilhelm Steinitz - Oscar Gelbfuhs, Vienna 1873","[""Qxf6+"", ""gxf6"", ""Bf8#""]",3,medium,224
11,easy-0011,easy,"George Mackenzie - Wilhelm Steinitz, Vienna 1882","[""Be4"", ""Rg1"", ""Qxg2+"", ""Qxe4"", ""Rxe4"", ""Qf8#"", ""Bf6+"", ""Bxf6"", ""Qxf6+""]",9,medium,224
